start_station_name,start_station_id,avg_lat,avg_lng,n_observations
Halsted St & Roosevelt Rd,TA1305000017,41.867341836093594,-87.64863426869438,15692
Fairbanks St & Superior St,18003,41.89574981605013,-87.62012836689381,15566
Financial Pl & Ida B Wells Dr,SL-010,41.87502610528819,-87.63309867379257,15450
Racine Ave & Wrightwood Ave,TA1309000059,41.928891504215436,-87.65897655419896,15412
Western Ave & Walton St,KA1504000103,41.898409562111816,-87.68659273913516,15117
Walsh Park,18067,41.91458586881962,-87.66796801313232,15105
Lake Park Ave & 56th St,TA1309000063,41.79326455669963,-87.58780461933524,15054
State St & Pearson St,TA1307000061,41.89743698569498,-87.62872950573907,15021
Broadway & Granville Ave,15571,41.994775857827406,-87.66029237456527,14981
Michigan Ave & Ida B Wells Dr,TA1305000010,41.87623922312929,-87.62443595990189,14942
Damen Ave & Thomas St (Augusta Blvd),TA1307000070,41.90132781218303,-87.67742114007959,14936
Broadway & Ridge Ave,15578,41.9840475771532,-87.66027326206441,14879
Marine Dr & Ainslie St,KA1504000171,41.97159062610467,-87.6501654431327,14853
Broadway & Thorndale Ave,15575,41.98972858160628,-87.66013264966465,14843
Throop St & Taylor St,13139,41.86893990436788,-87.65913632363896,14796
Clarendon Ave & Leland Ave,TA1307000119,41.967949401248426,-87.65001330048366,14678
Calumet Ave & 33rd St,13217,41.834889000987545,-87.61793016152195,14611
Wood St & Chicago Ave,637,41.89563473491184,-87.67208377968552,14514
Ashland Ave & Grace St,13319,41.95068505396197,-87.66869833935215,14490
Lake Park Ave & 53rd St,KA1503000059,41.79950989184992,-87.5864377456233,14453
Racine Ave & Congress Pkwy,TA1306000025,41.87463877026761,-87.657031261232,14389
Larrabee St & Oak St,KA1504000116,41.90022788547703,-87.64298726872418,14382
Clybourn Ave & Division St,TA1307000115,41.90460076987282,-87.64056332709568,14340
State St & Harrison St,SL-007,41.874037738353266,-87.62770929668523,14316
Delano Ct & Roosevelt Rd,KA1706005007,41.86748786771183,-87.63219828942229,14245
Racine Ave & 18th St,13164,41.858178970532805,-87.65648410834095,14052
Ashland Ave & Augusta Blvd,13248,41.89962841798822,-87.66786866937878,13972
Greenview Ave & Diversey Pkwy,13294,41.932602242622046,-87.66594628848532,13849
Larrabee St & North Ave,TA1306000008,41.91018362200982,-87.64352175958145,13782
California Ave & Cortez St,17660,41.90037296866191,-87.69670957939643,13674
Lincoln Ave & Roscoe St*,chargingstx5,41.94334844620109,-87.67069987459067,13649
Ashland Ave & Wellington Ave,13269,41.93607295985607,-87.66983385273402,13596
Sheridan Rd & Lawrence Ave,TA1309000041,41.96950498270646,-87.65470073076197,13511
N Green St & W Lake St,20246.0,41.89,-87.65,13465
Canal St & Taylor St,15550,41.87023683764685,-87.63947149432363,13445
Dearborn St & Van Buren St,624,41.87625525720138,-87.62920614516202,13264
Bissell St & Armitage Ave,13059,41.91800236016817,-87.65216932674554,13244
Leavitt St & North Ave,TA1308000005,41.91042486521283,-87.68237933219834,13190
Buckingham Fountain,15541,41.87646962991414,-87.62042670002953,13181
Clark St & Montrose Ave,KA1503000022,41.961578985295795,-87.66609246387205,13159
Emerald Ave & 31st St,TA1309000055,41.838212775971705,-87.6451523905012,13159
Logan Blvd & Elston Ave,TA1308000031,41.92945982752933,-87.68416401312406,13101
Winthrop Ave & Lawrence Ave,TA1308000021,41.968802480223836,-87.6576529863468,13087
Ashland Ave & Wrightwood Ave,13296,41.92883100312974,-87.66851959855413,13049
Campbell Ave & North Ave,13257,41.91053464047122,-87.689560420441,12994
Seeley Ave & Roscoe St,13144,41.943368284672296,-87.67962292685594,12909
Cannon Dr & Fullerton Ave,13124,41.92674967932042,-87.63443624898217,12666
Ashland Ave & Chicago Ave,13247,41.89545189583944,-87.6676532171695,12544
Damen Ave & Charleston St,13288,41.92007810218184,-87.67788227864496,12412
Wood St & Taylor St (Temp),13285,41.86930113619171,-87.67374322818317,12221
Ashland Ave & Grand Ave,13434,41.891085024324035,-87.6666497403828,12149
Blue Island Ave & 18th St,13135,41.85753715007158,-87.6615690835822,12146
Loomis St & Jackson Blvd,13206,41.87794284240694,-87.66200905955775,12064
Lincoln Ave & Sunnyside Ave,TA1307000156,41.963011239914174,-87.68479165816217,11943
